projectName,projectType,Hotfix,Release,DeployDCE,Source
aax2,GUI,x,x,x,COIN
abed-mbn-creator,STANDALONE_JOB,x,x,x,COIN
ae-transfer-interface,STANDALONE_JOB,x,x,x,COIN
ages-servlet,SERVLET,x,x,x,COIN
axis2,AXIS2,,x,,COIN
axway-interface,STANDALONE_JOB,x,x,x,COIN
bg-create-stugroup,STANDALONE_JOB,x,x,x,COIN
bg-guiding-interface,STANDALONE_JOB,x,x,x,COIN
bg-its-account-importer,STANDALONE_JOB,x,x,x,COIN
bg-its-correction-processor,STANDALONE_JOB,x,x,x,COIN
bg-its-interface,STANDALONE_JOB,x,x,x,COIN
bg-its-mark-tolling-groups-as-paid,STANDALONE_JOB,x,x,x,COIN
bg-its-trip-detail-interface,STANDALONE_JOB,x,x,x,COIN
bg-its-webservice,WEBSERVICE,x,x,x,COIN
bg-tripdetail-aggregation,STANDALONE_JOB,x,x,x,COIN
billable-item-creator,STANDALONE_JOB,x,x,x,COIN
billable-item-id-generator,STANDALONE_JOB,x,x,x,COIN
billable-item-interface,STANDALONE_JOB,,,,COIN
billable-item-ref-generator,STANDALONE_JOB,x,x,x,COIN
bp-push-service,SERVLET,x,x,x,COIN
businesspartner-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
cas-request-webservice-sim,AXIS2_WEBSERVICE,x,x,x,COIN
cashbox-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
cdhub-scr,WEBSERVICE,x,x,x,COIN
cdhub-service,WEBSERVICE,x,x,x,COIN
cdhub-simulator,WEBSERVICE,x,x,x,COIN
ch-create-payment-request-interface,STANDALONE_JOB,x,x,x,COIN
ch-fca-api,WEBSERVICE,x,x,x,COIN
ch-fca-pcl-ack-creator,STANDALONE_JOB,x,x,x,COIN
ch-fca-pcl-validator,STANDALONE_JOB,x,x,x,COIN
ch-generate-acknowledgement,STANDALONE_JOB,x,x,x,COIN
ch-guiding-interface,STANDALONE_JOB,x,x,x,COIN
checkvatservice-dummy-ws,AXIS2_WEBSERVICE,x,x,x,COIN
cron-servlet-v3,CRON_SERVLET_V3,x,x,x,COIN
dk-strblt-discount-dummyservice,AXIS2_WEBSERVICE,x,x,x,COIN
dk-strblt-discount-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
documentcreator-servlet-v2,DOCUMENTCREATOR_SERVLET,x,x,x,COIN
drs-features-provider,STANDALONE_JOB,x,x,x,COIN
dsrc-billable-item-creation-interface,STANDALONE_JOB,x,x,x,COIN
dsrc-billing-webservice,WEBSERVICE,x,x,x,COIN
dsrc-tis-pl-guiding,STANDALONE_JOB,x,x,x,COIN
dsrc-tis-pl-importer,STANDALONE_JOB,x,x,x,COIN
detailed-bill-amount-report-creator,STANDALONE_JOB,x,x,x,COIN
egh-act-importer,STANDALONE_JOB,x,x,x,COIN
egh-blacklist-generator,STANDALONE_JOB,x,x,x,COIN
egh-fic-creator,STANDALONE_JOB,x,x,x,COIN
egh-fif-importer,STANDALONE_JOB,x,x,x,COIN
egh-fif-validator,STANDALONE_JOB,x,x,x,COIN
egh-fif-guiding,STANDALONE_JOB,x,x,x,COIN
egh-tic-creator,STANDALONE_JOB,x,x,x,COIN
egh-tif-guiding,STANDALONE_JOB,x,x,x,COIN
egh-tif-importer,STANDALONE_JOB,x,x,x,COIN
egh-tif-validator,STANDALONE_JOB,x,x,x,COIN
egh-tst-importer,STANDALONE_JOB,x,x,x,COIN
egh-whitelist-generator,STANDALONE_JOB,x,x,x,COIN
etccm-kafka-simulator,DOCUMENTCREATOR_SERVLET,,,,COIN
etccm-test-servlet,SERVLET,x,x,x,COIN
etccm-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
hu-idata-create-stugroup,STANDALONE_JOB,x,x,x,COIN
hu-idata-guiding,STANDALONE_JOB,x,x,x,COIN
hu-idata-ticket-aggregation,STANDALONE_JOB,x,x,x,COIN
hu-idata-ticketapi-interface,STANDALONE_JOB,x,x,x,COIN
hu-import-idata-ticket-reconciliation,STANDALONE_JOB,x,x,x,COIN
hu-stu-error-reprocessing,STANDALONE_JOB,x,x,x,COIN
idata-dummy-service,WEBSERVICE,x,x,x,COIN
idata-interface,STANDALONE_JOB,x,x,x,COIN
idata-webservice,WEBSERVICE,x,x,x,COIN
interface-controller,STANDALONE_JOB,x,x,x,COIN
its-dummy-service,WEBSERVICE,x,x,x,COIN
Jdbc-ojdbc,JDBC_OJDBC,,x,,COIN
Jdbc-ons,JDBC_ONS,,x,,COIN
Jdbc-ucp,IDBC_UCP,,x,,COIN
ldap-synchronizer,STANDALONE_JOB,x,x,x,COIN
ldap-webservice,WEBSERVICE,x,x,x,COIN
logistics-api,WEBSERVICE,x,x,x,COIN
mail-import-interface,STANDALONE_JOB,x,x,x,COIN
messagebox-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
mobile-network-service-provider-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
operations-webservice,WEBSERVICE,x,x,x,COIN
partition-creator,STANDALONE_JOB,x,x,x,COIN
pl-auto-password-changer,STANDALONE_JOB,x,x,x,COIN
pl-eets-account-note-ack-producer,STANDALONE_JOB,x,x,x,COIN
pl-eets-account-note-consumer,WEBSERVICE,x,x,x,COIN
pl-eets-account-note-importer,STANDALONE_JOB,x,x,x,COIN
pl-eets-billing-details-consumer,WEBSERVICE,x,x,x,COIN
pl-eets-billing-details-importer,STANDALONE_JOB,x,x,x,COIN
pl-eets-exception-list-generator,STANDALONE_JOB,x,x,x,COIN
pl-eets-guiding,STANDALONE_JOB,x,x,x,COIN
pl-eets-payment-announcement-creator,STANDALONE_JOB,x,x,x,COIN
pl-eets-payment-announcement-reprocessor,STANDALONE_JOB,x,x,x,COIN
pl-kas-billing-details-importer,STANDALONE_JOB,x,x,x,COIN
pl-kas-guiding,STANDALONE_JOB,x,x,x,COIN
pl-kas-sent-document-sender,STANDALONE_JOB,x,x,x,COIN
pl-kas-sent-dummy-service,AXIS2_WEBSERVICE,x,x,x,COIN
pl-kas-sent-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
product-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
report-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
reprocess-dsrc-erroneous-data,STANDALONE_JOB,x,x,x,COIN
retail-collector,STANDALONE_JOB,x,x,x,COIN
scc-action-response-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
sftp-bi-export,STANDALONE_JOB,x,x,x,COIN
sftp-gateway-interface,STANDALONE_JOB,x,x,x,COIN
sftp-it-bi-export-api-partner,STANDALONE_JOB,x,x,x,COIN
sftp-zip-exporter,STANDALONE_JOB,x,x,x,COIN
shop-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
simulation-webservice,WEBSERVICE,x,x,x,COIN
sk-generate-acknowledgement,STANDALONE_JOB,x,x,x,COIN
sk-guiding,STANDALONE_JOB,x,x,x,COIN
sk-nds-webservice,WEBSERVICE,x,x,x,COIN
sp-ticket-closer,STANDALONE_JOB,x,x,x,COIN
stu-error-reprocessing,STANDALONE_JOB,x,x,x,COIN
switzerland-exceptionlist-generator,STANDALONE_JOB,x,x,x,COIN
tccm-webservice,AXIS2_WEBSERVICE,x,x,x,COIN
tis-pl-support,STANDALONE_JOB,x,x,x,COIN
tms-notification,WEBSERVICE,x,x,x,COIN
unified-api,WEBSERVICE,x,x,x,COIN
unified-api-v2,WEBSERVICE,x,x,x,COIN
unified-api-models,UNIFIED_API_MODELS,x,x,x,COIN
worldline-servlet,SERVLET,x,x,x,COIN
aax2-xxxreleasexxx-trunk.only-db,DB_ONLY_DCE,,,x,COIN
aax2-xxxreleasexxx-diffdeploy.only-db,DB_ONLY,,x,,COIN
aax2-xxxreleasexxx-hfxxxhotfixNumberxxx,DB_ONLY,x,,,COIN
